systematic_name	cluster_id
YBL066C	R.L.L.R.L
YBL067C	R.L.L.L.L.L
YBL068W	R.R.R
YBL068W-A	R.R.R
YBL069W	R.L.L.R.R
YBL070C	R.L.L.R.L
YBL071C	R.L.L.R.L
YBL071C-B	R.L.L.R.L
YBL071W-A	R.R.R
YBL072C	R.L.L.L.L.L
YBL073W	R.L.L.R.L
YBL074C	L.L
YBL075C	L.R.R.L
YBL076C	R.R.R
YBL077W	R.L.L.R.L
YBL078C	L.R.R.L
YBL079W	R.L.L.L.L.R
YBL080C	R.L.L.L.R.L.R
YBL081W	R.L.R
YBL082C	R.R.R
YBL083C	R.L.L.R.R
YBL084C	L.R.L
YBL085W	L.L
YBL086C	L.R.R.L
YBL087C	R.L.L.L.L.L
YBL088C	R.L.L.L.L.R
YBL089W	R.L.R
YBL090W	R.L.R
YBL091C	R.L.L.L.L.L
YBL091C-A	R.L.L.L.R.L.L
YBL092W	R.L.L.R.L
YBL093C	L.R.L
YBL094C	L.L
YBL095W	R.L.L.R.L
YBL096C	L.L
YBL097W	R.L.L.L.L.L
YBL098W	R.R.L
YBL099W	R.L.L.L.L.R
YBL100C	R.L.L.L.L.L
YBL100W-A	R.L.L.R.L
YBL100W-B	L.R.L
YBL100W-C	R.L.L.R.L
YBL101C	L.R.R.L
YBL102W	R.L.R
YBL103C	R.L.L.L.R.L.L
YBL104C	R.L.R
YBL105C	R.L.L.L.R.L.R
YBL106C	R.L.L.R.L
YBL107C	R.L.R
YBL107W-A	R.L.L.R.L
YBL108C-A	R.L.L.R.L
YBL108W	R.L.L.R.L
YBL109W	R.L.L.R.L
YBL111C	R.L.L.R.L
YBL112C	R.L.L.R.L
YBL113C	L.R.L
YBL113W-A	R.L.L.R.L
YBR001C	L.R.L
YBR002C	R.L.L.L.L.L
YBR003W	R.L.L.L.R.L.R
YBR004C	L.L
YBR005W	L.R.L
YBR006W	L.R.R.L
YBR007C	L.L
YBR008C	L.R.L
YBR009C	R.L.L.R.L
YBR010W	R.L.L.R.L
YBR011C	R.L.L.R.L
YBR012C	L.L
YBR012W-A	R.L.L.R.L
YBR012W-B	R.L.L.L.L.L
YBR013C	L.L
YBR014C	R.L.L.L.L.L
YBR015C	R.L.L.R.L
YBR016W	R.L.L.R.L
YBR017C	R.R.L
YBR018C	L.L
