systematic_name	cluster_id
Q0010	L.R.L.L.L.L
Q0017	L.R.L.L.L.L
Q0032	L.R.L.L.L.L
Q0045	L.L.L.L.R.R.L
Q0050	R.L
Q0055	L.R.L.L.L.L
Q0060	L.R.L.L.L.R.L
Q0065	L.R.L.R
Q0070	L.R.L.L.L.L
Q0075	L.L.L.L.R.R.L
Q0080	L.R.L.L.L.L
Q0085	L.R.L.L.L.L
Q0092	L.R.L.L.L.L
Q0105	L.R.L.L.L.L
Q0110	L.R.L.L.L.L
Q0115	L.R.L.L.L.L
Q0120	L.R.L.L.L.L
Q0130	L.R.L.L.L.L
Q0140	L.R.L.R
Q0142	L.R.L.L.L.L
Q0143	L.R.L.R
Q0144	L.R.L.L.L.L
Q0160	L.R.L.R
Q0182	L.R.L.L.L.L
Q0250	L.R.L.L.L.L
Q0255	L.R.L.L.L.L
Q0275	L.R.L.L.L.R.L
Q0297	L.R.L.L.L.L
YAL001C	L.R.L.L.R.L
YAL002W	L.R.L.R
YAL003W	L.R.L.L.L.L
YAL004W	L.R.L.L.L.L
YAL005C	L.R.L.L.L.L
YAL007C	L.R.L.L.L.L
YAL008W	L.R.R.R
YAL009W	R.L
YAL010C	L.R.R.R
YAL011W	L.R.L.R
YAL012W	L.R.L.L.R.L
YAL013W	L.R.L.L.L.R.L
YAL014C	L.L.R.R.L.R
YAL015C	L.R.L.L.R.L
YAL016C-A	L.L.R.R.L.R
YAL016C-B	L.R.L.L.L.L
YAL016W	L.R.R.R
YAL017W	L.L.R.L.R.R.R.R
YAL018C	L.L.R.R.L.R
YAL019W	L.L.L.L.R.L
YAL019W-A	L.R.L.L.L.L
YAL020C	R.L
YAL021C	R.L
YAL022C	R.L
YAL023C	L.R.L.L.R.L
YAL024C	R.L
YAL025C	R.R
YAL026C	R.L
YAL026C-A	R.L
YAL027W	L.R.R.R
YAL028W	L.R.R.L.L.L
YAL029C	R.L
YAL030W	L.R.L.L.L.L
YAL031C	L.R.R.L.L.R
YAL031W-A	L.R.L.L.R.L
YAL032C	L.L.R.R.L.R
YAL033W	R.L
YAL034C	L.L.R.L.L.L.R
YAL034C-B	L.R.L.L.L.L
YAL034W-A	L.R.L.L.L.L
YAL035W	L.R.L.R
YAL036C	R.R
YAL037C-A	L.R.L.L.L.L
YAL037C-B	L.R.L.L.L.L
YAL037W	L.R.L.L.R.L
YAL038W	L.R.L.L.L.L
YAL039C	R.L
YAL040C	R.R
YAL041W	L.R.R.R
YAL042C-A	L.L.R.R.L.R
YAL042W	L.R.L.L.R.L
YAL043C	R.L
YAL044C	L.R.L.L.L.L
YAL044W-A	L.R.L.L.R.R
YAL045C	L.R.L.L.L.L
YAL046C	L.R.L.L.R.R
YAL047C	R.L
YAL047W-A	L.R.L.L.R.L
YAL048C	L.R.L.L.L.L
YAL049C	R.L
YAL051W	L.R.R.R
YAL053W	L.R.R.R
YAL054C	L.R.L.L.L.L
YAL055W	L.R.R.R
YAL056C-A	L.R.L.L.L.L
YAL056W	L.R.R.L.L.R
YAL058W	R.L
YAL059C-A	L.R.L.L.L.L
YAL059W	R.R
YAL060W	L.R.L.R
YAL061W	L.R.R.L.R
YAL062W	L.R.R.R
YAL063C	R.R
YAL063C-A	L.R.L.L.R.R
YAL064C-A	L.R.L.L.L.L
YAL064W	L.L.L.L.R.R.L
YAL064W-B	L.R.L.L.L.L
YAL065C	R.L
YAL066W	L.R.L.L.L.L
YAL067C	R.L
YAL067W-A	L.R.L.L.L.L
YAL068C	L.R.L.L.L.L
YAL068W-A	L.R.L.L.L.L
YAL069W	L.R.L.R
YAR002C-A	L.R.L.L.R.L
YAR002W	R.L
YAR003W	L.R.L.L.R.L
YAR007C	L.R.R.R
YAR008W	L.R.L.L.R.R
YAR009C	R.L
YAR010C	R.L
YAR014C	R.L
YAR015W	R.L
YAR018C	R.L
YAR019C	L.L.R.R.L.R
YAR019W-A	L.L.R.R.L.R
YAR020C	L.R.L.R
YAR023C	L.L.R.R.R
YAR027W	L.L.R.L.L.R.L
YAR028W	L.L.L.L.R.L
YAR029W	L.L.L.L.R.L
YAR030C	L.R.L.L.L.L
YAR031W	R.L
YAR033W	R.L
YAR035C-A	L.R.L.L.L.L
YAR035W	L.R.L.L.L.L
YAR042W	L.R.L.L.L.R.L
YAR047C	L.R.L.L.L.L
YAR050W	R.L
YAR053W	L.R.L.L.L.L
YAR060C	L.R.L.R
YAR061W	R.L
YAR064W	L.R.L.L.L.L
YAR066W	L.R.L.R
YAR068W	R.L
YAR069C	L.R.L.L.L.L
YAR070C	L.R.L.L.L.L
YAR071W	R.L
YAR073W	L.R.L.R
YAR075W	L.R.L.L.L.L
YBL001C	L.R.L.L.L.L
YBL002W	R.L
YBL003C	R.L
YBL004W	R.R
YBL005W	L.R.L.L.L.L
YBL005W-A	R.L
YBL005W-B	L.R.L.L.L.L
YBL006C	L.R.L.L.L.L
YBL006W-A	L.R.L.L.L.L
YBL007C	L.R.R.L.L.R
YBL008W	L.R.R.R
YBL008W-A	L.R.L.L.R.L
YBL009W	L.R.L.L.R.R
YBL010C	R.L
YBL011W	L.R.L.R
YBL012C	L.R.L.L.L.L
YBL013W	R.L
YBL014C	L.L.L.L.R.L
YBL015W	L.R.R.L.L.R
YBL016W	L.L.L.L.R.L
YBL017C	L.R.L.R
YBL018C	R.R
YBL019W	L.R.R.R
YBL020W	L.R.L.L.R.R
YBL021C	L.R.R.R
YBL022C	L.R.R.R
YBL023C	L.R.R.R
YBL024W	R.R
YBL025W	L.R.R.R
YBL026W	R.L
YBL027W	R.L
YBL028C	R.R
YBL029C-A	L.R.L.R
YBL029W	R.R
YBL030C	L.R.L.L.L.L
YBL031W	R.L
YBL032W	L.R.L.L.R.L
YBL033C	L.L.R.R.L.R
YBL034C	L.R.L.L.L.L
YBL035C	L.R.L.L.L.L
YBL036C	R.L
YBL037W	L.R.R.R
YBL038W	L.R.R.R
YBL039C	R.R
YBL039C-A	L.R.L.L.L.L
YBL039W-B	L.L.L.L.R.L
YBL040C	L.R.L.R
YBL041W	L.R.L.L.R.L
YBL042C	R.R
YBL043W	L.R.L.L.R.R
YBL044W	L.R.L.L.L.R.L
YBL045C	L.R.L.L.L.L
YBL046W	L.L.R.R.L.R
YBL047C	L.R.R.R
YBL048W	L.L.L.R
YBL049W	L.L.R.R.R
YBL050W	L.R.R.R
YBL051C	R.L
YBL052C	L.R.L.R
YBL053W	L.R.L.R
YBL054W	R.R
YBL055C	L.R.L.L.L.L
YBL056W	L.R.L.L.R.L
YBL057C	L.R.L.L.L.L
YBL058W	L.R.R.R
YBL059C-A	R.L
YBL059W	R.L
YBL060W	L.R.R.R
YBL061C	L.R.L.L.R.R
YBL062W	L.R.L.L.L.L
YBL063W	L.R.L.L.R.L
YBL064C	L.R.R.R
YBL065W	L.L.R.R.R
YBL066C	L.R.R.R
YBL067C	R.L
YBL068W	R.R
YBL068W-A	L.R.L.L.R.R
YBL069W	R.L
YBL070C	L.R.L.L.L.L
YBL071C	R.L
YBL071C-B	L.R.L.L.L.L
YBL071W-A	R.L
YBL072C	R.L
YBL073W	L.R.L.L.L.L
YBL074C	L.L.L.L.R.L
YBL075C	L.L.R.L.L.L.R
YBL076C	R.R
YBL077W	L.R.L.L.L.L
YBL078C	L.L.R.L.L.R.R
YBL079W	R.L
YBL080C	L.R.L.L.L.R.L
YBL081W	R.L
YBL082C	R.R
YBL083C	R.R
YBL084C	L.R.R.R
YBL085W	L.L.L.L.R.L
YBL086C	L.L.R.L.L.R.R
YBL087C	R.L
YBL088C	L.R.L.L.L.L
YBL089W	R.L
YBL090W	R.L
YBL091C	R.L
YBL091C-A	L.R.R.R
YBL092W	L.R.L.L.L.L
YBL093C	L.R.L.R
YBL094C	L.L.L.L.R.L
YBL095W	L.R.L.L.L.R.L
YBL096C	L.L.L.L.R.R.L
YBL097W	R.L
YBL098W	R.L
YBL099W	R.L
YBL100C	R.L
YBL100W-A	L.R.L.L.L.L
YBL100W-B	L.R.R.R
YBL100W-C	L.R.L.L.L.L
YBL101C	L.L.R.L.R.R.R.L
YBL102W	L.R.R.R
YBL103C	L.R.L.L.L.R.L
YBL104C	R.L
YBL105C	L.R.L.R
YBL106C	L.R.L.R
YBL107C	L.R.R.R
YBL107W-A	L.R.L.L.L.L
YBL108C-A	L.R.L.L.L.L
YBL108W	L.R.L.L.L.L
YBL109W	L.R.L.L.L.L
YBL111C	L.R.L.L.L.L
YBL112C	L.R.L.L.L.L
YBL113C	L.R.L.R
YBL113W-A	L.R.L.L.L.L
YBR001C	L.L.R.R.L.R
YBR002C	L.R.L.L.L.L
YBR003W	L.R.R.L.L.R
YBR004C	L.L.L.L.R.L
YBR005W	L.L.R.R.L.R
YBR006W	L.L.R.L.L.R.L
YBR007C	L.L.R.R.R
YBR008C	L.R.L.R
YBR009C	L.R.L.L.L.L
YBR010W	L.R.L.L.L.L
YBR011C	L.R.L.L.L.L
YBR012C	L.L.R.R.L.L.R
YBR012W-A	L.R.L.L.L.L
YBR012W-B	L.R.L.L.L.L
YBR013C	L.L.R.R.L.L.R
YBR014C	R.L
YBR015C	L.R.L.L.L.L
YBR016W	L.R.L.L.L.L
YBR017C	R.R
YBR018C	L.L.R.R.L.R
YBR019C	L.R.L.L.L.L
YBR020W	L.R.L.L.L.L
YBR021W	R.L
YBR022W	L.R.R.R
YBR023C	L.R.L.L.R.R
YBR024W	L.R.L.R
YBR025C	L.R.L.L.L.L
YBR026C	L.R.R.L.L.R
YBR027C	L.R.L.L.L.L
YBR028C	R.L
YBR029C	R.L
YBR030W	R.L
YBR031W	R.L
YBR032W	L.R.L.L.L.L
YBR033W	L.R.L.L.L.L
YBR034C	R.R
YBR035C	R.L
YBR036C	L.R.R.R
YBR037C	R.L
YBR038W	R.L
YBR039W	R.L
YBR040W	L.R.L.R
YBR041W	L.R.R.R
YBR042C	L.R.L.L.R.L
YBR043C	L.R.L.R
YBR044C	L.R.L.L.L.R.L
YBR045C	L.L.R.R.L.R
YBR046C	L.R.R.L.L.R
YBR047W	R.L
YBR048W	R.L
YBR049C	L.R.L.L.L.R.L
YBR050C	L.R.L.R
YBR051W	L.R.L.R
YBR052C	L.R.L.L.L.R.L
YBR053C	L.R.R.L.L.R
YBR054W	R.L
YBR055C	L.R.L.R
YBR056C-B	L.R.L.L.R.R
YBR056W	L.L.R.L.L.R.R
YBR056W-A	L.L.L.L.L
YBR057C	L.R.L.L.L.R.L
YBR058C	R.L
YBR058C-A	L.R.L.L.R.L
YBR059C	L.R.L.R
YBR060C	R.L
YBR061C	R.R
YBR062C	L.R.R.R
YBR063C	L.R.L.R
YBR064W	L.R.L.L.L.L
YBR065C	L.R.L.R
YBR066C	L.L.L.R
YBR067C	L.R.L.R
YBR068C	L.R.L.L.L.L
YBR069C	R.R
YBR070C	L.L.L.L.R.L
YBR071W	L.L.L.L.R.L
YBR072C-A	L.L.R.R.R
YBR072W	L.L.R.L.L.R.R
YBR073W	L.L.R.R.R
YBR074W	R.L
YBR076C-A	L.L.L.R
YBR076W	L.L.L.L.R.L
YBR077C	L.R.L.R
YBR078W	L.R.L.L.L.L
YBR079C	R.R
YBR080C	L.R.R.R
YBR081C	L.R.L.R
YBR082C	L.R.L.L.L.L
YBR083W	L.L.L.L.R.R.L
YBR084C-A	R.L
YBR084W	R.R
YBR085C-A	L.R.L.L.L.L
YBR085W	R.R
YBR086C	L.R.L.L.L.L
YBR087W	R.L
YBR088C	L.R.L.L.R.R
YBR089C-A	L.R.L.L.L.L
YBR089W	L.R.L.L.L.L
YBR090C	L.R.L.L.L.R.L
YBR091C	R.L
YBR092C	R.R
YBR093C	L.R.L.R
YBR094W	R.R
YBR095C	L.R.L.L.R.L
YBR096W	L.R.R.R
YBR097W	L.R.L.L.L.R.L
YBR098W	L.R.L.R
YBR099C	L.L.L.L.L
YBR101C	L.R.L.R
YBR102C	L.R.L.L.R.L
YBR103C-A	L.R.L.L.L.R.L
YBR103W	L.L.L.L.R.R.L
YBR104W	R.R
YBR105C	L.R.R.R
YBR106W	L.R.L.L.L.L
YBR107C	L.R.R.R
YBR108W	L.L.R.R.R
YBR109C	R.L
YBR109W-A	L.R.L.L.R.L
YBR110W	L.R.R.R
YBR111C	L.R.L.L.L.R.L
YBR111W-A	R.L
YBR112C	L.R.L.R
YBR113W	L.R.L.R
YBR114W	L.L.L.L.L
YBR115C	R.L
YBR116C	L.L.R.L.R.L.L
YBR117C	L.L.R.L.R.L.L
YBR118W	L.R.L.L.L.L
YBR119W	L.R.L.L.L.L
YBR120C	L.R.R.R
YBR121C	R.R
YBR121C-A	L.R.L.L.L.L
YBR122C	R.L
YBR123C	L.R.R.R
YBR124W	L.R.L.L.R.L
YBR125C	R.L
YBR126C	L.R.L.R
YBR126W-A	L.R.L.L.L.L
YBR126W-B	L.R.L.L.L.L
YBR127C	R.L
YBR128C	L.R.R.R
YBR129C	L.R.R.R
YBR130C	R.L
YBR131C-A	L.R.L.L.L.L
YBR131W	L.L.R.R.L.R
YBR132C	L.R.R.L.L.R
YBR133C	L.R.L.L.R.R
YBR134W	L.R.L.R
YBR135W	L.R.L.L.R.R
YBR136W	L.R.L.L.L.L
YBR137W	L.R.R.R
YBR138C	L.R.L.L.R.L
YBR139W	L.R.R.L.L.L
YBR140C	L.R.L.R
YBR141C	R.L
YBR141W-A	L.R.L.L.L.L
YBR142W	R.R
YBR143C	R.L
YBR144C	L.R.L.L.L.L
YBR145W	L.R.R.R
YBR146W	R.L
YBR147W	L.R.R.L.L.R
YBR148W	L.R.L.L.R.L
YBR149W	L.R.L.L.L.R.L
YBR150C	L.L.R.R.L.R
YBR151W	L.R.L.L.L.R.L
YBR152W	L.L.R.R.L.R
YBR153W	L.R.L.L.R.R
YBR154C	R.L
YBR155W	R.R
YBR156C	L.R.L.L.R.L
YBR157C	L.L.R.R.L.R
YBR158W	L.R.L.R
YBR159W	R.L
YBR160W	L.R.L.L.R.L
YBR161W	L.L.L.L.L
YBR162C	L.R.L.R
YBR162W-A	L.R.L.L.L.L
YBR163W	L.L.L.R
YBR164C	R.L
YBR165W	L.R.R.R
YBR166C	R.L
YBR167C	L.R.R.R
YBR168W	L.R.R.R
YBR169C	L.L.R.L.L.R.R
YBR170C	L.R.R.R
YBR171W	L.R.L.L.L.L
YBR172C	L.R.L.R
YBR173C	L.R.L.L.R.L
YBR174C	L.R.L.R
YBR175W	L.R.L.L.R.L
YBR176W	L.R.R.R
YBR177C	L.R.R.R
YBR178W	L.R.L.R
YBR179C	R.L
YBR180W	L.R.L.L.R.L
YBR181C	R.L
YBR182C	L.L.L.R
YBR182C-A	L.L.L.R
YBR183W	L.R.R.L.L.L
YBR184W	R.L
YBR185C	R.L
YBR186W	L.R.L.L.R.L
YBR187W	R.R
YBR188C	R.L
YBR189W	R.L
YBR190W	L.R.L.R
YBR191W	R.L
YBR191W-A	L.R.L.L.L.L
YBR192W	R.L
YBR193C	L.R.R.R
YBR194W	L.R.R.R
YBR195C	L.R.L.L.R.R
YBR196C	L.R.L.L.L.L
YBR196C-A	L.R.L.R
YBR196C-B	L.R.L.L.L.L
YBR197C	L.L.R.R.L.R
YBR198C	R.L
YBR199W	L.R.R.R
YBR200W	L.R.L.L.R.L
YBR200W-A	L.L.R.R.R
YBR201C-A	L.L.L.R
YBR201W	L.R.R.R
YBR202W	R.L
YBR203W	L.R.L.L.L.R.R.R
YBR204C	L.R.R.R
YBR205W	R.L
YBR206W	R.L
YBR207W	L.R.R.R
YBR208C	L.R.L.L.L.L
YBR209W	L.R.L.L.L.L
YBR210W	R.R
YBR211C	L.L.R.R.L.R
YBR212W	L.R.R.L.L.R
YBR213W	L.R.L.L.R.R
YBR214W	L.L.R.L.L.L.L
YBR215W	L.R.R.R
YBR216C	L.R.R.L.L.R
YBR217W	L.R.L.L.L.L
YBR218C	R.L
YBR219C	L.R.L.L.L.L
YBR220C	R.L
YBR221C	R.L
YBR221W-A	L.R.L.L.L.L
YBR222C	L.R.R.R
YBR223C	L.R.R.R
YBR223W-A	L.R.L.L.L.L
YBR224W	L.R.L.L.L.R.L
YBR225W	L.R.R.R
YBR226C	L.R.L.L.L.L
YBR227C	R.L
YBR228W	L.R.R.R
YBR229C	R.L
YBR230C	L.R.R.R
YBR230W-A	L.R.L.L.L.L
YBR231C	L.R.R.R
YBR232C	L.R.L.L.L.L
YBR233W	L.L.R.R.L.R
YBR233W-A	R.L
YBR234C	R.L
YBR235W	L.R.R.R
YBR236C	R.L
YBR237W	L.R.L.R
YBR238C	R.R
YBR239C	R.L
YBR240C	R.L
YBR241C	L.R.R.R
YBR242W	R.L
YBR243C	L.R.R.R
YBR244W	L.R.L.R
YBR245C	R.L
YBR246W	L.R.L.L.L.L
YBR247C	R.R
YBR248C	R.R
YBR249C	R.R
YBR250W	L.L.R.R.L.R
YBR251W	R.L
YBR252W	R.L
YBR253W	L.R.L.L.L.L
YBR254C	R.L
YBR255C-A	R.L
YBR255W	L.R.R.R
YBR256C	R.L
YBR257W	R.L
YBR258C	L.R.R.R
YBR259W	L.R.L.L.L.L
YBR260C	L.R.R.R
YBR261C	R.L
YBR262C	L.R.L.L.L.L
YBR263W	R.L
YBR264C	L.R.R.R
YBR265W	R.L
YBR266C	L.R.L.L.L.L
YBR267W	R.R
YBR268W	R.L
YBR269C	L.R.R.R
YBR270C	L.R.L.R
YBR271W	R.L
YBR272C	L.R.R.R
YBR273C	L.R.R.R
YBR274W	L.R.L.L.R.L
YBR275C	R.L
YBR276C	L.R.L.L.L.L
YBR277C	L.R.L.L.L.L
YBR278W	L.R.L.L.R.R
YBR279W	L.L.R.R.L.R
YBR280C	L.L.R.L.R.R.R.L
YBR281C	R.L
YBR282W	L.R.L.L.L.L
YBR283C	R.L
YBR284W	L.L.L.R
YBR285W	L.R.R.L.L.L
YBR286W	L.R.L.L.L.L
YBR287W	L.L.R.R.L.R
YBR288C	R.L
